Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Paced walking duration (ms)
5/27/2025,57,856.9640315,4462.655358,45,45,,,,,0.701515043,1.757498454,0.263587424,6285,,,,,,3247812,,
5/26/2025,80,1805.142845,4783.196116,63,56,,,,,0.500359565,2.49735485,0.263587424,6948,,,,824379,,3104978,67649,
5/25/2025,85,1772.877866,5306.508943,45,45,,,,,0.466417524,1.465003682,0.253043927,8049,,,,,,3661432,,
5/24/2025,99,1850.274306,6339.720649,56,56,,,,,0.425189491,1.464836232,0.253043927,9517,,,,,,4997333,,
5/23/2025,96,1692.396131,3774.917356,4,4,,,,,0.525653141,1.367320062,0.253043927,6890,,,,,,2272278,,
5/22/2025,86,1829.930183,5725.754795,49,49,,,,,0.540618476,1.464872116,0.250168233,8452,,,,,,4646184,,
5/21/2025,74,1760.843972,4278.795992,31,31,,,,,0.495877438,1.46487991,0.253043927,6717,,,,,,3453722,,
5/20/2025,74,1751.287061,5148.801601,45,45,,,,,0.431541833,1.503851464,0.253043927,7816,,,,,,3288764,,
5/19/2025,84,1802.223154,5796.703925,55,55,,,,,0.48860046,1.533511792,0.274130921,8602,,,,,,4167947,,
5/18/2025,116,1930.289579,6298.52253,58,58,,,,,0.564043001,1.575368247,0.253043927,9418,,,,754726,,5571602,,
5/17/2025,44,1633.198103,1724.1237,,,,,,,0.425731942,1.297253135,0.261493673,3286,,,,,,1250490,,
5/16/2025,41,1658.552247,1397.427815,22,22,,,,,0.403681881,1.319598038,0.253043927,2542,,,,894737,,731604,,
5/15/2025,34,1619.097665,1795.6154,11,11,,,,,0.403409494,1.282374174,0.254435271,3142,,,,,,1007110,,
5/14/2025,100,1828.131174,6517.967873,57,57,,,,,0.477036944,1.429738584,0.248685245,9810,,,,,,4615133,,
5/13/2025,71,1767.205594,4811.767459,48,48,,,,,0.481635866,1.424491651,0.263587424,7203,,,,,,3563526,,
5/12/2025,29,1642.518222,1655.801525,10,10,,,,,0.392481085,1.305509315,0.25259802,2894,,,,,,1411360,,
5/11/2025,66,1698.156867,2923.107245,6,6,,,,,0.545557011,1.333919703,0.251039857,5335,,,,,,2371708,,
5/10/2025,71,1659.644352,3090.785028,10,10,,,,,0.43193375,1.339004647,0.253043927,5218,,,,,,1706969,,
5/9/2025,77,1795.448322,2130.969325,46,46,,,,,0.411142588,1.322583764,0.274130921,3454,,,,2184386,,1715809,,
